shoe_name,release_date,size,avg_price_tw_b,total_volume_tw_b,avg_price_ow_b,total_volume_ow_b,avg_price_rs,total_volume_rs,avg_price_ow_a,total_volume_ow_a,avg_price_tw_a,total_volume_tw_a,avg_price_om_a,total_volume_om_a,avg_price_tm_a,total_volume_tm_a,avg_price_sm_a,total_volume_sm_a
Nike Dunk High SP Varsity Purple (W),2020-12-22,8W,242.13333333333333,15,199.23529411764707,17,228.33333333333334,3,215.96969696969697,33,213.47058823529412,17,223.625,40,251.6315789473684,76,243.90969899665552,299
Nike Dunk High SP Varsity Purple (W),2020-12-22,8.5W,232.35714285714286,14,199.88888888888889,18,203.0,3,211.40625,32,205.38888888888889,18,199.35,40,234.49333333333334,75,228.0,300
Nike Dunk High SP Varsity Purple (W),2020-12-22,9W,231.94444444444446,18,195.2941176470588,17,198.0,2,197.3030303030303,33,193.72222222222223,18,201.75,40,218.21333333333334,75,219.14478114478115,297
Nike Dunk High SP Varsity Purple (W),2020-12-22,9.5W,229.875,16,212.64705882352942,17,188.0,2,207.08823529411765,34,209.11764705882354,17,223.1,40,233.16,75,224.83946488294313,299
Nike Dunk High SP Varsity Purple (W),2020-12-22,10W,236.42857142857142,14,212.94444444444446,18,206.66666666666666,3,211.40625,32,207.16666666666666,18,219.8,40,237.72,75,232.35666666666665,300
Nike Dunk High SP Varsity Purple (W),2020-12-22,10.5W,236.71428571428572,14,220.38888888888889,18,208.0,2,217.96969696969697,33,220.27777777777777,18,238.975,40,251.47368421052633,76,241.27090301003344,299
Nike Dunk High SP Varsity Purple (W),2020-12-22,11W,246.4375,16,233.38888888888889,18,220.0,3,228.96875,32,229.88235294117646,17,236.75,40,241.89473684210526,76,243.40604026845637,298
Nike Dunk High SP Varsity Purple (W),2020-12-22,11.5W,279.96153846153845,26,274.1764705882353,17,246.33333333333334,3,250.46875,32,221.88235294117646,17,221.10256410256412,39,309.36486486486484,74,276.52054794520546,292
Nike Dunk High SP Varsity Purple (W),2020-12-22,12W,291.125,16,268.94444444444446,18,236.5,2,250.27272727272728,33,242.11111111111111,18,240.0,40,257.76,75,291.51006711409394,298
Nike Dunk High Syracuse (W) (2021),2021-03-10,5W,0.0,1,200.0,6,225.6,5,219.01694915254237,59,165.28125,32,171.42465753424656,73,209.33576642335765,137,216.2872340425532,188
Nike Dunk High Syracuse (W) (2021),2021-03-10,5.5W,0.0,1,357.85714285714283,7,214.0,5,257.22033898305085,59,176.09375,32,194.64383561643837,73,240.08029197080293,137,213.06951871657753,187
Nike Dunk High Syracuse (W) (2021),2021-03-10,6W,0.0,1,0.0,1,216.2,5,208.3,60,175.9375,32,193.32432432432432,74,215.68345323741008,139,210.6421052631579,190
Nike Dunk High Syracuse (W) (2021),2021-03-10,6.5W,0.0,1,275.0,6,220.2,5,211.64406779661016,59,169.8125,32,189.73972602739727,73,233.5912408759124,137,215.62765957446808,188
Nike Dunk High Syracuse (W) (2021),2021-03-10,7W,0.0,1,199.0,4,223.2,5,199.7,60,171.5625,32,190.06849315068493,73,233.83941605839416,137,230.8941798941799,189
Nike Dunk High Syracuse (W) (2021),2021-03-10,7.5W,0.0,1,207.5,4,214.0,4,206.53333333333333,60,178.0625,32,191.36986301369862,73,224.86231884057972,138,227.8994708994709,189
Nike Dunk High Syracuse (W) (2021),2021-03-10,8W,0.0,1,0.0,1,222.75,4,198.98181818181817,55,171.84375,32,194.74666666666667,75,225.9078014184397,141,229.90673575129534,193
Nike Dunk High Syracuse (W) (2021),2021-03-10,8.5W,0.0,1,0.0,1,220.2,5,201.9,60,172.03125,32,188.3783783783784,74,216.3884892086331,139,225.92631578947368,190
Nike Dunk High Syracuse (W) (2021),2021-03-10,9W,0.0,1,0.0,1,213.0,5,202.66071428571428,56,174.96969696969697,33,189.33783783783784,74,216.50714285714287,140,208.27083333333334,192
