shoe_name,release_date,size,avg_price_tw_b,total_volume_tw_b,avg_price_ow_b,total_volume_ow_b,avg_price_rs,total_volume_rs,avg_price_ow_a,total_volume_ow_a,avg_price_tw_a,total_volume_tw_a,avg_price_om_a,total_volume_om_a,avg_price_tm_a,total_volume_tm_a,avg_price_sm_a,total_volume_sm_a
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,8.5,317.2083333333333,24,256.42857142857144,14,264.5,2,260.39285714285717,28,261.85714285714283,14,275.3030303030303,33,304.95238095238096,63,318.714859437751,249
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,9,344.13793103448273,29,257.46666666666664,15,261.0,2,255.92592592592592,27,254.0,14,268.27272727272725,33,294.64516129032256,62,310.2032520325203,246
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,9.5,366.6,35,256.92857142857144,14,261.5,2,253.1153846153846,26,252.86666666666667,15,269.0625,32,297.21311475409834,61,307.7336065573771,244
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,10,418.6842105263158,38,252.78571428571428,14,257.5,2,249.1153846153846,26,242.92857142857142,14,259.42424242424244,33,286.4166666666667,60,296.440329218107,243
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,10.5,329.96666666666664,30,258.57142857142856,14,256.0,2,247.37037037037038,27,238.4,15,249.375,32,274.5806451612903,62,289.2276422764228,246
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,11,319.32142857142856,28,257.35714285714283,14,250.33333333333334,3,249.07692307692307,26,248.42857142857142,14,265.1818181818182,33,290.33870967741933,62,302.4153225806452,248
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,11.5,305.5833333333333,24,264.3333333333333,15,251.5,2,256.1111111111111,27,255.35714285714286,14,275.2352941176471,34,307.241935483871,62,312.4457831325301,249
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,12,327.7931034482759,29,258.53333333333336,15,256.5,2,249.59259259259258,27,252.5,14,263.3030303030303,33,292.0806451612903,62,305.0853658536585,246
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,12.5,329.0,3,266.4,15,261.6666666666667,3,258.42857142857144,28,272.06666666666666,15,300.0571428571429,35,320.81538461538463,65,336.16153846153844,260
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,13,328.34615384615387,26,256.2857142857143,14,261.5,2,245.11111111111111,27,254.2,15,263.6363636363636,33,284.14516129032256,62,293.0,249
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,14,313.08,25,254.35714285714286,14,243.0,2,239.0,27,222.93333333333334,15,234.06060606060606,33,258.2258064516129,62,270.636,250
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,15,0.0,1,244.73333333333332,15,241.66666666666666,3,240.21428571428572,28,229.66666666666666,15,232.5142857142857,35,239.3230769230769,65,265.7908745247148,263
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,16,0.0,1,0.0,1,269.0,1,253.14285714285714,14,201.58823529411765,17,193.67567567567568,37,200.9142857142857,70,252.2892857142857,280
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,17,0.0,1,0.0,1,225.0,1,211.71428571428572,14,192.0,17,192.0,37,191.65714285714284,70,214.675,280
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,18,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,180.0,21,176.4935064935065,77,144.09324758842445,311
Jordan 1 Retro High J Balvin,2020-12-08,3.5,0.0,1,0.0,1,0.0,1,0.0,1,503.0,3,549.8666666666667,45,575.3809523809524,84,733.9169139465876,337
Jordan 1 Retro High J Balvin,2020-12-08,4,0.0,1,0.0,1,698.0,1,696.5625,16,676.8421052631579,19,763.0,42,601.0512820512821,78,635.3968253968254,315
Jordan 1 Retro High J Balvin,2020-12-08,4.5,0.0,1,0.0,1,802.3333333333334,3,705.375,16,689.5,18,648.2857142857143,42,701.9358974358975,78,651.0668789808917,314
Jordan 1 Retro High J Balvin,2020-12-08,5,0.0,1,0.0,1,659.3333333333334,3,710.6451612903226,31,557.5,18,553.025,40,571.7368421052631,76,578.8157894736842,304
Jordan 1 Retro High J Balvin,2020-12-08,5.5,0.0,1,0.0,1,655.3333333333334,3,716.3928571428571,28,676.1666666666666,18,633.6829268292682,41,677.5263157894736,76,636.6372549019608,306
Jordan 1 Retro High J Balvin,2020-12-08,6,0.0,1,0.0,1,575.5,2,627.4666666666667,30,535.3529411764706,17,522.4146341463414,41,540.7142857142857,77,508.97049180327866,305
Jordan 1 Retro High J Balvin,2020-12-08,6.5,0.0,1,1000.0,1,551.3333333333334,3,639.71875,32,505.1111111111111,18,521.55,40,510.13157894736844,76,469.77814569536423,302
Jordan 1 Retro High J Balvin,2020-12-08,7,1550.0,6,1303.5882352941176,17,548.0,2,561.59375,32,479.2352941176471,17,497.57894736842104,38,485.34722222222223,72,441.5896551724138,290
Jordan 1 Retro High J Balvin,2020-12-08,7.5,0.0,1,1045.6666666666667,6,509.0,3,562.6875,32,474.4117647058824,17,474.825,40,462.58666666666664,75,434.31666666666666,300
Jordan 1 Retro High J Balvin,2020-12-08,8,1120.4,5,1112.764705882353,17,541.0,2,577.78125,32,495.05882352941177,17,495.39473684210526,38,476.8082191780822,73,445.1275862068965,290
Jordan 1 Retro High J Balvin,2020-12-08,8.5,1200.0,26,1128.0625,16,557.0,2,576.0333333333333,30,503.9375,16,502.1578947368421,38,490.0,69,459.54676258992805,278
Jordan 1 Retro High J Balvin,2020-12-08,9,4186.518867924528,106,1032.357142857143,14,528.0,2,607.92,25,500.15384615384613,13,504.5483870967742,31,483.5,58,465.8565217391304,230
Jordan 1 Retro High J Balvin,2020-12-08,9.5,1411.2307692307693,26,1036.25,16,592.0,2,637.9354838709677,31,508.125,16,512.0540540540541,37,506.07246376811594,69,486.7086330935252,278
Jordan 1 Retro High J Balvin,2020-12-08,10,1082.3529411764705,17,1009.4375,16,586.0,2,610.0645161290323,31,518.6470588235294,17,531.578947368421,38,517.5,70,507.0636042402827,283
Jordan 1 Retro High J Balvin,2020-12-08,10.5,1100.0,3,1187.3529411764705,17,577.0,3,624.6129032258065,31,518.1176470588235,17,533.2051282051282,39,542.4109589041096,73,525.5620689655173,290
Jordan 1 Retro High J Balvin,2020-12-08,11,1181.25,8,975.5294117647059,17,581.5,2,634.5,32,533.1764705882352,17,534.8947368421053,38,563.3472222222222,72,556.1041666666666,288
Jordan 1 Retro High J Balvin,2020-12-08,11.5,1400.0,9,1400.0,17,656.0,2,804.5,32,576.875,16,613.6153846153846,39,675.9583333333334,72,636.616724738676,287
Jordan 1 Retro High J Balvin,2020-12-08,12,1053.3333333333333,15,1091.1764705882354,17,625.6666666666666,3,693.0333333333333,30,550.0625,16,598.2631578947369,38,654.056338028169,71,609.862676056338,284
Jordan 1 Retro High J Balvin,2020-12-08,12.5,0.0,1,0.0,1,725.6666666666666,3,660.4347826086956,23,493.1111111111111,18,546.780487804878,41,559.6153846153846,78,578.2071197411003,309
Jordan 1 Retro High J Balvin,2020-12-08,13,0.0,1,1098.1333333333334,15,636.0,2,688.34375,32,498.2352941176471,17,533.15,40,567.4931506849315,73,564.8945578231293,294
Jordan 1 Retro High J Balvin,2020-12-08,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan 1 Retro High J Balvin,2020-12-08,14,0.0,1,1133.0833333333333,12,755.6666666666666,3,915.34375,32,561.5294117647059,17,562.5897435897435,39,601.1621621621622,74,691.3141891891892,296
Jordan 1 Retro High J Balvin,2020-12-08,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan 1 Retro High J Balvin,2020-12-08,15,0.0,1,0.0,1,1122.0,2,956.6521739130435,23,710.7777777777778,18,791.439024390244,41,766.0,78,951.9580645161291,310
Jordan 1 Retro High J Balvin,2020-12-08,None,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,500.0,450
Jordan 1 Retro High Obsidian UNC,2019-08-31,7,501.53846153846155,26,544.4,5,384.0,1,416.77777777777777,9,427.6,5,405.72727272727275,11,380.1818181818182,22,369.1058823529412,85
Jordan 1 Retro High Obsidian UNC,2019-08-31,7.5,459.5,12,552.4,5,387.0,1,425.22222222222223,9,411.8333333333333,6,404.1818181818182,11,380.59090909090907,22,345.5,88
Jordan 1 Retro High Obsidian UNC,2019-08-31,8,485.1111111111111,9,564.0,5,403.0,1,418.8888888888889,9,424.0,5,424.5833333333333,12,402.72727272727275,22,345.07954545454544,88
Jordan 1 Retro High Obsidian UNC,2019-08-31,8.5,470.8888888888889,9,565.2,5,401.0,1,416.8888888888889,9,418.4,5,418.0,12,399.09090909090907,22,339.03409090909093,88
Jordan 1 Retro High Obsidian UNC,2019-08-31,9,458.6666666666667,9,533.2,5,371.0,1,395.22222222222223,9,384.4,5,377.8333333333333,12,365.3636363636364,22,324.0113636363636,88
Jordan 1 Retro High Obsidian UNC,2019-08-31,9.5,433.1111111111111,9,508.0,5,345.0,1,370.77777777777777,9,351.8,5,349.0833333333333,12,328.6818181818182,22,302.5568181818182,88
